N° consultation,Client,Date Publication,Intitulé du projet,Date Expiration,epBidMasterId,info,Lien
S20250500427,Institut Hédi Raies d’Ophtalmologie,05/05/2025,prisme pour tonomètre,12/05/2025 09:00,226788,info,https://www.tuneps.tn/portail/consultations/consultationdetails/226788/S20250500427
S20250500426,Prison civile Mornaguia,05/05/2025,Fournitures de laboratoire d’analyses médicales,09/05/2025 09:00,226787,info,https://www.tuneps.tn/portail/consultations/consultationdetails/226787/S20250500426
S20250500425,Commune de Sidi Bou Said,05/05/2025,العناية بالحدائق والنباتات والمساحات الخضراء  بمنطقة سيدي بوسعيد,26/05/2025 16:00,226785,info,https://www.tuneps.tn/portail/consultations/consultationdetails/226785/S20250500425
S20250500421,Gouvernorat de Monastir,05/05/2025,acquisition des pièces de rechange pour les véhicules de BOP Monastir,19/05/2025 10:30,226780,info,https://www.tuneps.tn/portail/consultations/consultationdetails/226780/S20250500421
S20250500423,المستشفى الجهوي بجرجيس,05/05/2025,habillement d'ouvriers,12/05/2025 10:00,226782,info,https://www.tuneps.tn/portail/consultations/consultationdetails/226782/S20250500423
S20250500424,Centre d’Hydrographie et d’Oceanographie de la Marine Nationale,05/05/2025,"Acquisition poste TV smart ""50""",09/05/2025 09:00,226784,info,https://www.tuneps.tn/portail/consultations/consultationdetails/226784/S20250500424
S20250500420,Hôpital Hédi Chaker  Sfax,05/05/2025,اقتناء مستلزمات مخبرية لفائدة مخبر الوراثة بالمستشفى,10/05/2025 10:00,226779,info,https://www.tuneps.tn/portail/consultations/consultationdetails/226779/S20250500420
S20250500418,Commissariat Régional au Développement Agricole de Kasserine,05/05/2025,Acquisition d’outillage pour les ateliers de CRDA,20/05/2025 09:30,226776,info,https://www.tuneps.tn/portail/consultations/consultationdetails/226776/S20250500418
S20250500410,Conseil régional de Gabès,05/05/2025,المراقبة الفنية لمشروع تهيئة قاعة الرياضات الفردية بقابس,13/05/2025 09:00,226768,info,https://www.tuneps.tn/portail/consultations/consultationdetails/226768/S20250500410
S20250500417,Hôpital circonscription de Souassi,05/05/2025,استشارة الاثاث,10/05/2025 16:34,226775,info,https://www.tuneps.tn/portail/consultations/consultationdetails/226775/S20250500417
S20250500413,Commune de Ben Arous,05/05/2025,CONSULTATION POUR L'ELABORATION DES PLANS TOPOGRAPHIQUES AU TERRAIN MUNICIPAL ET AU TERRAINS ANNEXES A LA SALLE COUVERTE DE BEN AROUS,19/05/2025 14:00,226771,info,https://www.tuneps.tn/portail/consultations/consultationdetails/226771/S20250500413
S20250500415,المستشفى الجهوي بجرجيس,05/05/2025,travaux grattage et peinture du bloc opératoire hopital zarzis,15/05/2025 08:31,226773,info,https://www.tuneps.tn/portail/consultations/consultationdetails/226773/S20250500415
S20250500414,Centre de Traumatologie et des Grands Brûles,05/05/2025,Acquisition Sac mortuaire pour l’année 2025,12/05/2025 10:00,226772,info,https://www.tuneps.tn/portail/consultations/consultationdetails/226772/S20250500414
S20250500412,Hôpital régional de Tabarka,05/05/2025,Travaux d’entretien du groupe d’eau glacée,19/05/2025 10:00,226770,info,https://www.tuneps.tn/portail/consultations/consultationdetails/226770/S20250500412
S20250500411,Société Tunisienne des Marchés de Gros,05/05/2025,ACQUISITION INSTALLATION ET MISE EN MARCHE  D’UN CLIMATISEUR ARMOIRE 48 000 BTU /H,10/05/2025 09:00,226769,info,https://www.tuneps.tn/portail/consultations/consultationdetails/226769/S20250500411
